51300036398,dag,129,222
51300097131,eac,144,203
51300110225,gba,245,236
51300147712,edb,170,58
51300202523,dad,260,264
51300229154,eeg,167,266
51300266694,bfg,261,131
51300275720,dgf,40,44
51300308686,dbb,47,115
51300310168,cad,220,271
51300317444,fag,105,83
51300329409,ced,111,193
51300331671,dda,282,232
51300345106,dgd,16,209
51300358775,gaa,257,220
51300365199,gcg,240,62
51300375277,cba,296,279
51300398301,gcf,204,145
51300440294,ead,137,7
51300465622,aee,202,187
51300511697,fda,196,219
51300512837,fad,185,237
51300642567,afg,191,206
51300658432,ggc,250,24
51300684076,ega,65,27
51300750782,bad,178,258
51300777823,afe,45,291
51300778445,dcf,99,37
51300837743,ecf,155,33
51300875557,dad,40,274
51300884084,dga,119,135
51300885307,gee,89,153
51300896189,ded,160,29
51300912535,bee,247,137
51300947096,gbd,7,130
51300948400,gcd,165,36
51300965308,dgd,268,167
51300978979,egg,138,18
51300985825,edb,218,46
51301042984,aef,137,85
51301046631,gac,274,224
51301074691,bfe,259,56
51301091380,fce,113,232
51301170255,cgd,59,62
51301185618,fbe,107,244
51301195297,cdd,67,65
51301242687,bde,44,285
51301243165,ffa,128,175
51301244624,ded,201,29
51301253058,ebd,132,158
51301265089,fcd,233,24
51301270349,efa,49,11
51301281579,ebc,93,203
51301287229,dce,115,80
51301368636,dad,6,224
51301397469,bef,100,41
51301399758,bge,270,148
51301410001,dgd,85,198
51301418633,dab,177,212
51301428292,ead,40,7
51301450496,dgb,152,239
51301566087,aae,166,198
51301581008,fed,105,53
51301585311,ggg,25,43
51301607260,cbd,110,28
51301609288,ebf,298,109
51301610732,aad,296,229
51301648967,gce,283,12
51301650893,efc,1,187
51301664506,dcf,13,41
51301674007,bbc,231,44
51301715665,eda,146,276
51301750485,adb,220,122
51301798110,adf,8,159
51301812733,agb,143,198
51301832959,dfe,95,133
51301880951,aeb,201,9
51301887630,bcf,57,296
51301919460,ebe,104,269
51301924164,eaa,71,33
51301925080,gae,57,210
51301932371,ccc,189,293
51301953376,bde,123,322
51301962941,gca,82,129
51301997219,eef,104,176
